SlNo,ReleaseDate,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes
86,9-May-14,YehHaiBakrapur,HS,Comedy,5,2,1257416,758,923
87,28-Mar-14,Youngistaan,N,Drama,26,6.75,603710,1082,177
88,14-Jun-13,Fukrey,N,Comedy,5,36.2,227912,222,39
89,28-Nov-14,Zid,N,Thriller,20,14.05,6698987,6750,2234
90,19-Dec-14,PK,HS,Drama,85,735,13270623,43767,5693
91,21-Jun-13,Raanjhanaa,N,Romance,35,100,5470632,12413,1018
92,5-Dec-14,ActionJackson,N,Action,90,57.45,13279636,19240,3859
93,2-Oct-14,BangBang,FS,Action,140,340,15889811,61805,6283
94,21-Jun-13,ShortcutRomeo,N,Thriller,15,2.58,1131573,913,255
95,12-Sep-14,Creature,N,Thriller,24,20,2876498,5844,1537
96,28-Jun-13,Ghanchakkar,N,Comedy,30,38,2248046,5108,614
97,2-Oct-13,Besharam,LW,Comedy,85,35,5319606,10253,8165
98,5-Jul-13,Lootera,N,Romance,27,28,2581449,4416,819
99,18-Jul-14,Pizza3D,N,Thriller,10,4.35,838943,1116,153
100,16-May-14,TheXpose,HS,Thriller,16,29,3707889,3512,1292
101,5-Jul-13,Policegiri,N,Action,30,16.8,1754266,1674,420
102,12-Jul-13,BhaagMilkhaBhaag,N,Drama,30,164,2635390,4622,456
103,25-Apr-14,Kaanchi,N,Drama,31,4,2360968,2807,595
104,25-Apr-14,SamratandCo.,N,Thriller,18,2,371133,532,180
105,12-Jul-13,B.A.Pass,N,Drama,2,5.9,2240961,842,348
106,19-Jul-13,RamaiyaVastavaiya,N,Romance,35,30,3788488,4111,687
107,14-Mar-14,Bewakoofiyan,FS,Romance,22,14,2850376,4764,1068
108,19-Jul-13,DDay,N,Action,30,24,1939868,1804,224
109,21-Feb-14,Darr@TheMall,N,Thriller,15,4.5,1679872,255,51
110,26-Jul-13,Issaq,N,Romance,10,5,68511,76,16
111,7-Feb-14,HaseeToPhansee,N,Romance,27,35.5,2543707,6390,975
112,26-Jul-13,BajateyRaho,N,Comedy,5,10,462722,513,77
113,3-Jan-14,MrJoeBCarvalho,N,Comedy,15,4,268289,139,40
114,26-Jul-13,Nasha,N,Thriller,4,8,613448,288,188
115,11-Apr-14,BhootnathReturns,LW,Thriller,29,53,3049275,10759,657
116,9-Aug-13,ChennaiExpress,FS,Comedy,75,395,1882346,7954,1593
117,15-Aug-13,OnceUponAyTimeInMumbaiDobaara!,FS,Thriller,100,80,3077135,9200,2821
118,23-Aug-13,MadrasCafe,N,Thriller,35,42.7,1709945,2974,594
119,30-Aug-13,Satyagraha,N,Drama,50,60,1422568,2736,394
120,1-Nov-13,Krrish3,FS,Action,115,300,23171067,72070,11888
121,7-Mar-14,TotalSiyappa,N,Drama,10,12,1719399,3656,548
122,8-Nov-13,Satya2,FS,Thriller,15,1.1,110315,89,26
123,15-Nov-13,Rajjo,FS,Romance,12,2,1718619,1606,1083
124,22-Nov-13,GoriTerePyaarMein,N,Romance,30,12.65,3799253,8559,1871
125,29-Nov-13,BullettRaja,N,Comedy,50,40,4015674,8084,2129
126,11-Oct-13,WarChhodNaYaar,FS,Comedy,14,7.5,40450,33,7
127,11-Oct-13,BaatBanGayi,FS,Comedy,4,1.5,23186,9,4
128,16-Oct-13,Boss,FS,Drama,50,45,6464704,22977,3396
129,18-Oct-13,Shahid,FS,Drama,6,40,1148516,3155,396
130,25-Oct-13,MickeyVirus,N,Comedy,11,6,335807,574,129
131,6-Sep-13,Zanjeer,LW,Action,75,18.2,2539431,5634,922
132,6-Sep-13,ShuddhDesiRomance,LW,Romance,25,55,5142,1,1
133,13-Sep-13,GrandMasti,LW,Comedy,35,298,1795640,3015,721
134,16-May-14,ChildrenOfWar,HS,Drama,12,22,577569,1640,156
135,20-Sep-13,PhataPosterNiklaHero,N,Drama,40,34,5176897,10672,1392
136,20-Sep-13,TheLunchbox,N,Drama,10,85,1064854,4054,285
137,9-Jan-15,Tevar,N,Action,40,56,6132407,11241,1729
138,16-Jan-15,Alone,N,Thriller,18,25,8788913,18907,2940
139,23-Jan-15,Baby,N,Action,60,125,7968156,29246,2426
140,30-Jan-15,Hawaizaada,N,Drama,25,30.25,2368404,8619,539
141,30-Jan-15,Khamoshiyan,N,Thriller,11,14.02,3094001,4599,997
142,6-Feb-15,Shamitabh,N,Drama,40,38,2105508,5599,677
143,13-Feb-15,Roy,FS,Romance,40,58,7687797,18974,3229
144,20-Feb-15,Badlapur,FS,Action,23,77,4550051,10602,893
145,27-Feb-15,DumLagaKeHaisha,N,Comedy,15,30,3250917,8185,615
146,13-Mar-15,NH10,N,Thriller,13,32.1,5592977,15464,1513
147,20-Mar-15,DilliwaliZaalimGirlfriend,N,Comedy,32,12,2316047,4289,807
148,20-Mar-15,Hunterrr,N,Comedy,5,11.89,4674795,3706,762
149,23-May-14,Kochadaiiyaan,HS,Action,150,120,4740727,13466,2649
